settlement_id,bank_txn_id,method,confidence,reason
SET-001,BK-0001,rule_exact_utr,1.0,Exact UTR UTR3321819600 and amount match
SET-002,BK-0002,rule_exact_utr,1.0,Exact UTR UTR9083863794 and amount match
SET-003,BK-0003,rule_exact_utr,1.0,Exact UTR UTR6542351161 and amount match
SET-004,BK-0004,rule_exact_utr,1.0,Exact UTR UTR4078161849 and amount match
SET-005,BK-0005,rule_exact_utr,1.0,Exact UTR UTR0341316475 and amount match
SET-006,BK-0006,rule_exact_utr,1.0,Exact UTR UTR4192832764 and amount match
SET-007,BK-0007,rule_exact_utr,1.0,Exact UTR UTR5030564139 and amount match
SET-008,BK-0008,rule_exact_utr,1.0,Exact UTR UTR7672423884 and amount match
SET-009,BK-0009,rule_exact_utr,1.0,Exact UTR UTR6532871012 and amount match
SET-010,BK-0010,rule_exact_utr,1.0,Exact UTR UTR9166978480 and amount match
SET-011,BK-0011,rule_exact_utr,1.0,Exact UTR UTR4514627048 and amount match
SET-012,BK-0012,rule_exact_utr,1.0,Exact UTR UTR4893252880 and amount match
SET-013,BK-0013,rule_exact_utr,1.0,Exact UTR UTR1543039117 and amount match
SET-014,BK-0014,rule_exact_utr,1.0,Exact UTR UTR2278248963 and amount match
SET-015,BK-0015,rule_exact_utr,1.0,Exact UTR UTR4657871331 and amount match
SET-016,BK-0016,rule_exact_utr,1.0,Exact UTR UTR3930103105 and amount match
SET-017,BK-0017,rule_exact_utr,1.0,Exact UTR UTR7382997376 and amount match
SET-018,BK-0018,rule_exact_utr,1.0,Exact UTR UTR5667010651 and amount match
SET-019,BK-0019,rule_exact_utr,1.0,Exact UTR UTR7262473178 and amount match
SET-020,BK-0020,rule_exact_utr,1.0,Exact UTR UTR0132677360 and amount match
SET-021,BK-0021,rule_exact_utr,1.0,Exact UTR UTR4746872343 and amount match
SET-022,BK-0022,rule_exact_utr,1.0,Exact UTR UTR0500978820 and amount match
SET-023,BK-0023,rule_exact_utr,1.0,Exact UTR UTR1913619399 and amount match
SET-024,BK-0024,rule_exact_utr,1.0,Exact UTR UTR9985435346 and amount match
SET-025,BK-0025,rule_exact_utr,1.0,Exact UTR UTR7510799118 and amount match
SET-026,BK-0026,rule_exact_utr,1.0,Exact UTR UTR5135427849 and amount match
SET-027,BK-0027,rule_exact_utr,1.0,Exact UTR UTR4124118244 and amount match
SET-028,BK-0028,rule_exact_utr,1.0,Exact UTR UTR3487401640 and amount match
SET-029,BK-0029,rule_exact_utr,1.0,Exact UTR UTR4278680112 and amount match
SET-030,BK-0030,rule_exact_utr,1.0,Exact UTR UTR9826204505 and amount match
